chr,chromStart,chromEnd,peak_length,strand,ModLog2FC_treated,ModLog2FC_control,DiffModLog2FC,pvalue,padj,Annotation,transcriptID,geneID,gene_chr,gene_start,gene_end,geneName,Description,GO,KEGG
NC_051364.1,5161023,5161148,126,+,-0.24,2.45,-2.69,0.04,0.17,UTR5,XM_038012075.1,119628728,NC_051364.1,5160924,5163577,LOC119628728,PREDICTED: 52 kDa repressor of the inhibitor of the protein kinase-like isoform X1 [Tribolium castaneum],"GO:0000981(RNA polymerase II transcription factor activity, sequence-specific DNA binding);GO:0003677(DNA binding);GO:0005654(nucleoplasm);GO:0005737(cytoplasm)",NA
NC_051364.1,5162789,5162914,126,+,-1.56,2.43,-3.99,0.00,0.02,exonic,XM_038012075.1,119628728,NC_051364.1,5160924,5163577,LOC119628728,PREDICTED: 52 kDa repressor of the inhibitor of the protein kinase-like isoform X1 [Tribolium castaneum],"GO:0000981(RNA polymerase II transcription factor activity, sequence-specific DNA binding);GO:0003677(DNA binding);GO:0005654(nucleoplasm);GO:0005737(cytoplasm)",NA
NC_051364.1,5354070,5354281,212,+,1.26,0.66,0.60,0.03,0.14,UTR3,XM_004931219.4,101736585,NC_051364.1,5351898,5354281,LOC101736585,short coiled-coil protein homolog [Bombyx mori],GO:0019233(sensory perception of pain),NA
NC_051364.1,5384550,5385538,989,+,2.32,2.64,-0.32,0.00,0.00,UTR3,XM_004931222.4,101736991,NC_051364.1,5384551,5385538,LOC101736991,peptidyl-prolyl cis-trans isomerase FKBP2 [Bombyx mori],GO:0003755(peptidyl-prolyl cis-trans isomerase activity);GO:0005528(FK506 binding);GO:0005789(endoplasmic reticulum membrane);GO:0061077(chaperone-mediated protein folding),NA
NC_051364.1,5970320,5970720,401,+,1.49,1.00,0.50,0.02,0.10,UTR3,XM_004931234.3,101738946,NC_051364.1,5968672,5973372,LOC101738946,putative glutathione-specific gamma-glutamylcyclotransferase 2 [Bombyx mori],GO:0003839(gamma-glutamylcyclotransferase activity);GO:0005737(cytoplasm);GO:0006751(glutathione catabolic process);GO:0016829(lyase activity),00480(Glutathione metabolism);01100(Metabolic pathways)
NC_051364.1,6096790,6097490,701,+,1.68,-1.74,3.42,0.04,0.19,exonic,NM_001146231.1,100272175,NC_051364.1,6084953,6098811,serpin-10,serine protease inhibitor 10 precursor [Bombyx mori],GO:0004867(serine-type endopeptidase inhibitor activity);GO:0005615(extracellular space),NA
NC_051364.1,6508925,6510150,1226,+,3.70,1.61,2.08,0.01,0.07,exonic,XM_012694850.3,101742231,NC_051364.1,6492034,6520351,LOC101742231,histone-lysine N-methyltransferase trithorax isoform X2 [Bombyx mandarina],"GO:0000123(histone acetyltransferase complex);GO:0001654(eye development);GO:0003682(chromatin binding);GO:0003700(DNA binding transcription factor activity);GO:0004402(histone acetyltransferase activity);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005700(polytene chromosome);GO:0007411(axon guidance);GO:0007482(haltere development);GO:0008023(transcription elongation factor complex);GO:0008157(protein phosphatase 1 binding);GO:0008270(zinc ion binding);GO:0008354(germ cell migration);GO:0016571(histone methylation);GO:0016573(histone acetylation);GO:0032968(positive regulation of transcription elongation from RNA polymerase II promoter);GO:0035097(histone methyltransferase complex);GO:0042800(histone methyltransferase activity (H3-K4 specific));GO:0042803(protein homodimerization activity);GO:0043565(sequence-specific DNA binding);GO:0043966(histone H3 acetylation);GO:0044212(transcription regulatory region DNA binding);GO:0044665(MLL1/2 complex);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0051568(histone H3-K4 methylation)",NA
NC_051364.1,6547658,6548157,500,+,3.13,3.34,-0.21,0.01,0.07,UTR3,XM_004931255.4,101741453,NC_051364.1,6546914,6548157,LOC101741453,uncharacterized protein LOC114240316 [Bombyx mandarina],NA,NA
NC_051364.1,6552851,6562784,9934,+,2.55,2.89,-0.35,0.01,0.08,UTR3,XM_038012120.1,101742517,NC_051364.1,6552602,6562792,LOC101742517,coiled-coil domain-containing protein 174 [Bombyx mori],GO:0005654(nucleoplasm),NA
NC_051364.1,6672428,6674386,1959,+,2.05,1.80,0.25,0.00,0.04,UTR3,NM_001046799.2,692959,NC_051364.1,6672429,6674428,LOC692959,peroxisomal biogenesis factor 3 [Bombyx mandarina],GO:0005777(peroxisome);GO:0005779(integral component of peroxisomal membrane);GO:0007031(peroxisome organization);GO:0030497(fatty acid elongation);GO:2000304(positive regulation of ceramide biosynthetic process),04146(Peroxisome)
NC_051364.1,6711412,6721872,10461,+,3.51,3.65,-0.14,0.01,0.09,UTR3,XM_004931265.4,101742702,NC_051364.1,6711413,6721877,LOC101742702,scaffold attachment factor B2-like isoform X2 [Bombyx mandarina],"GO:0003676(nucleic acid binding);GO:0003677(DNA binding);GO:0003690(double-stranded DNA binding);GO:0003723(RNA binding);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0005737(cytoplasm);GO:0006351(transcription, DNA-templated);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0016604(nuclear body);GO:0042802(identical protein binding);GO:0043231(intracellular membrane-bounded organelle);GO:0043565(sequence-specific DNA binding);GO:0050684(regulation of mRNA processing);GO:0060008(Sertoli cell differentiation);GO:0060765(regulation of androgen receptor signaling pathway)",NA
NC_051364.1,6850929,6854739,3811,+,1.70,2.50,-0.79,0.00,0.00,UTR3,XM_004931273.4,101743898,NC_051364.1,6850855,6857328,LOC101743898,cysteine-rich hydrophobic domain-containing protein 2 [Bombyx mori],GO:0005622(intracellular);GO:0006810(transport),NA
NC_051364.1,6870742,6871342,601,+,2.02,2.91,-0.89,0.00,0.02,UTR5,XM_038012171.1,105841663,NC_051364.1,6870743,6878176,LOC105841663,F-box/WD repeat-containing protein 4 [Bombyx mori],NA,NA
NC_051364.1,6913270,6914110,841,+,2.46,2.09,0.37,0.00,0.00,UTR3,NM_001046682.1,692837,NC_051364.1,6913096,6914112,LOC692837,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 isoform X1 [Bombyx mandarina]","GO:0000428(DNA-directed RNA polymerase complex);GO:0001054(RNA polymerase I activity);GO:0001055(RNA polymerase II activity);GO:0001056(RNA polymerase III activity);GO:0003677(DNA binding);GO:0003899(DNA-directed 5'-3' RNA polymerase activity);GO:0005665(DNA-directed RNA polymerase II, core complex);GO:0005666(DNA-directed RNA polymerase III complex);GO:0005736(DNA-directed RNA polymerase I complex);GO:0006366(transcription by RNA polymerase II);GO:0007095(mitotic G2 DNA damage checkpoint)",03020(RNA polymerase)
NC_051364.1,6966906,6967131,226,+,1.65,1.05,0.60,0.02,0.10,UTR3,XM_012694876.3,101744719,NC_051364.1,6956572,6967133,LOC101744719,pseudouridine-5'-phosphatase isoform X3 [Bombyx mori],GO:0005737(cytoplasm);GO:0008152(metabolic process);GO:0016787(hydrolase activity);GO:0016791(phosphatase activity);GO:0070062(extracellular exosome),NA
NC_051364.1,7464619,7464869,251,+,0.51,1.96,-1.45,0.03,0.14,UTR3,XM_004931288.4,101745734,NC_051364.1,7451968,7465051,LOC101745734,mitochondrial glutamate carrier 1 [Bombyx mori],GO:0003735(structural constituent of ribosome);GO:0006412(translation),NA
NC_051364.1,7467938,7481041,13104,+,0.32,1.46,-1.14,0.05,0.20,UTR5,XM_004931354.4,101743239,NC_051364.1,7467939,7497367,LOC101743239,SWI/SNF complex subunit SMARCC2 isoform X2 [Bombyx mori],"GO:0003677(DNA binding);GO:0005515(protein binding);GO:0005634(nucleus);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007406(negative regulation of neuroblast proliferation);GO:0007474(imaginal disc-derived wing vein specification);GO:0007480(imaginal disc-derived leg morphogenesis);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0008587(imaginal disc-derived wing margin morphogenesis);GO:0016514(SWI/SNF complex);GO:0016586(RSC-type complex);GO:0035060(brahma complex);GO:0043044(ATP-dependent chromatin remodeling);GO:0045088(regulation of innate immune response);GO:0045893(positive regulation of transcription, DNA-templated);GO:2000134(negative regulation of G1/S transition of mitotic cell cycle)",NA
NC_051364.1,7557320,7561509,4190,+,1.33,1.67,-0.34,0.00,0.00,UTR3,XM_038011911.1,101746445,NC_051364.1,7552327,7561882,LOC101746445,uncharacterized protein LOC101740309 isoform X3 [Bombyx mori],GO:0000150(recombinase activity);GO:0000400(four-way junction DNA binding);GO:0000730(DNA recombinase assembly);GO:0000794(condensed nuclear chromosome);GO:0003690(double-stranded DNA binding);GO:0003697(single-stranded DNA binding);GO:0004520(endodeoxyribonuclease activity);GO:0005654(nucleoplasm);GO:0006312(mitotic recombination);GO:0007131(reciprocal meiotic recombination);GO:0008094(DNA-dependent ATPase activity);GO:0010212(response to ionizing radiation);GO:0042148(strand invasion);GO:0070192(chromosome organization involved in meiotic cell cycle);GO:0003676(nucleic acid binding);GO:0015074(DNA integration),03440(Homologous recombination);03460(Fanconi anemia pathway)
NC_051364.1,8119702,8124744,5043,+,1.64,2.55,-0.91,0.02,0.11,exonic,XM_004931363.4,101744671,NC_051364.1,8108831,8127977,LOC101744671,probable DNA mismatch repair protein Msh6 isoform X2 [Bombyx mori],GO:0000228(nuclear chromosome);GO:0000400(four-way junction DNA binding);GO:0000710(meiotic mismatch repair);GO:0003684(damaged DNA binding);GO:0007131(reciprocal meiotic recombination);GO:0009411(response to UV);GO:0032137(guanine/thymine mispair binding);GO:0032138(single base insertion or deletion binding);GO:0032301(MutSalpha complex);GO:0043570(maintenance of DNA repeat elements);GO:0045910(negative regulation of DNA recombination),03430(Mismatch repair)
NC_051364.1,8187751,8187851,101,+,6.88,0.26,6.62,0.00,0.03,exonic,XM_038011996.1,101744813,NC_051364.1,8163162,8217839,LOC101744813,putative transcription factor capicua [Bombyx mandarina],GO:0000122(negative regulation of transcription by RNA polymerase II);GO:0005634(nucleus),04013(MAPK signaling pathway - fly)
NC_051364.1,9178654,9223852,45199,+,3.31,4.32,-1.01,0.00,0.00,UTR5,XM_038011945.1,101745976,NC_051364.1,9178330,9286189,LOC101745976,trithorax group protein osa isoform X9 [Bombyx mandarina],"GO:0003677(DNA binding);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0006338(chromatin remodeling);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007379(segment specification);GO:0007406(negative regulation of neuroblast proliferation);GO:0007476(imaginal disc-derived wing morphogenesis);GO:0007480(imaginal disc-derived leg morphogenesis);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0008587(imaginal disc-derived wing margin morphogenesis);GO:0014017(neuroblast fate commitment);GO:0016055(Wnt signaling pathway);GO:0035060(brahma complex);GO:0042058(regulation of epidermal growth factor receptor signaling pathway);GO:0045893(positive regulation of transcription, DNA-templated);GO:0046530(photoreceptor cell differentiation);GO:0048085(adult chitin-containing cuticle pigmentation);GO:0048190(wing disc dorsal/ventral pattern formation)",NA
NC_051364.1,9285396,9286189,794,+,4.90,5.93,-1.03,0.00,0.00,UTR3,XM_038011945.1,101745976,NC_051364.1,9178330,9286189,LOC101745976,trithorax group protein osa isoform X9 [Bombyx mandarina],"GO:0003677(DNA binding);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0006338(chromatin remodeling);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007379(segment specification);GO:0007406(negative regulation of neuroblast proliferation);GO:0007476(imaginal disc-derived wing morphogenesis);GO:0007480(imaginal disc-derived leg morphogenesis);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0008587(imaginal disc-derived wing margin morphogenesis);GO:0014017(neuroblast fate commitment);GO:0016055(Wnt signaling pathway);GO:0035060(brahma complex);GO:0042058(regulation of epidermal growth factor receptor signaling pathway);GO:0045893(positive regulation of transcription, DNA-templated);GO:0046530(photoreceptor cell differentiation);GO:0048085(adult chitin-containing cuticle pigmentation);GO:0048190(wing disc dorsal/ventral pattern formation)",NA
NC_051364.1,9544019,9546479,2461,+,1.26,2.48,-1.21,0.01,0.09,UTR3,XM_004931324.2,101738587,NC_051364.1,9418897,9547403,LOC101738587,tight junction protein ZO-1 isoform X9 [Bombyx mori],"GO:0001745(compound eye morphogenesis);GO:0004385(guanylate kinase activity);GO:0005886(plasma membrane);GO:0005912(adherens junction);GO:0005913(cell-cell adherens junction);GO:0005917(nephrocyte diaphragm);GO:0005938(cell cortex);GO:0007163(establishment or maintenance of cell polarity);GO:0007219(Notch signaling pathway);GO:0007254(JNK cascade);GO:0007391(dorsal closure);GO:0007424(open tracheal system development);GO:0008258(head involution);GO:0016323(basolateral plasma membrane);GO:0016476(regulation of embryonic cell shape);GO:0022416(chaeta development);GO:0030155(regulation of cell adhesion);GO:0030424(axon);GO:0031625(ubiquitin protein ligase binding);GO:0035147(branch fusion, open tracheal system);GO:0035156(fusion cell fate specification);GO:0035220(wing disc development);GO:0036059(nephrocyte diaphragm assembly);GO:0045176(apical protein localization);GO:0045177(apical part of cell);GO:0046328(regulation of JNK cascade);GO:0046331(lateral inhibition);GO:0048812(neuron projection morphogenesis);GO:0050699(WW domain binding);GO:0050839(cell adhesion molecule binding);GO:0060439(trachea morphogenesis);GO:0072697(protein localization to cell cortex);GO:0098609(cell-cell adhesion)",NA
NC_051364.1,9591025,9593682,2658,+,0.39,2.18,-1.79,0.00,0.03,UTR5,XM_038012091.1,101744116,NC_051364.1,9591026,9631499,LOC101744116,UPF0518 protein GF15501-like isoform X2 [Bombyx mandarina],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051364.1,9632568,9642249,9682,+,2.42,3.18,-0.76,0.01,0.05,UTR5,NM_001098370.1,100037443,NC_051364.1,9632469,9646549,STIP,septin-interacting protein 1 isoform X2 [Bombyx mandarina],"GO:0000390(spliceosomal complex disassembly);GO:0000398(mRNA splicing, via spliceosome);GO:0003677(DNA binding);GO:0004004(ATP-dependent RNA helicase activity);GO:0005515(protein binding);GO:0005681(spliceosomal complex);GO:0006355(regulation of transcription, DNA-templated);GO:0071008(U2-type post-mRNA release spliceosomal complex);GO:0071011(precatalytic spliceosome);GO:0071013(catalytic step 2 spliceosome)",NA
NC_051364.1,9661211,9661778,568,+,0.40,2.45,-2.05,0.01,0.05,UTR3,XM_004931326.4,101738995,NC_051364.1,9660737,9661778,LOC101738995,uncharacterized protein LOC101738995 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051364.1,10883747,10892886,9140,+,2.21,1.55,0.66,0.02,0.13,UTR3,XM_012691148.3,101745567,NC_051364.1,10868498,10893388,LOC101745567,eukaryotic translation initiation factor 2-alpha kinase isoform X2 [Bombyx mori],GO:0004672(protein kinase activity);GO:0005524(ATP binding);GO:0006468(protein phosphorylation),NA
NC_051364.1,10953445,10955477,2033,+,3.28,2.43,0.85,0.01,0.08,UTR3,XM_038012064.1,101741159,NC_051364.1,10941351,10955477,LOC101741159,uncharacterized protein LOC101741159 isoform X2 [Bombyx mori],NA,NA
NC_051364.1,11698011,11698211,201,+,1.13,0.70,0.43,0.00,0.00,exonic,XM_038012053.1,101741804,NC_051364.1,11691349,11743370,LOC101741804,LOW QUALITY PROTEIN: UPF0160 protein C27H6.8 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051364.1,11698988,11704263,5276,+,0.88,1.28,-0.40,0.00,0.01,UTR3,XM_038012053.1,101741804,NC_051364.1,11691349,11743370,LOC101741804,LOW QUALITY PROTEIN: UPF0160 protein C27H6.8 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051364.1,11738983,11742324,3342,+,2.15,-0.11,2.26,0.04,0.17,-,-,101741804,NC_051364.1,11691349,11743370,LOC101741804,LOW QUALITY PROTEIN: UPF0160 protein C27H6.8 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051364.1,11956704,11959744,3041,+,1.59,0.95,0.64,0.03,0.14,exonic,XM_004925718.4,101742682,NC_051364.1,11943885,11967156,LOC101742682,actin-interacting protein 1 [Bombyx mori],"GO:0001736(establishment of planar polarity);GO:0003779(actin binding);GO:0005856(cytoskeleton);GO:0006909(phagocytosis);GO:0007298(border follicle cell migration);GO:0030042(actin filament depolymerization);GO:0030833(regulation of actin filament polymerization);GO:0030834(regulation of actin filament depolymerization);GO:0030836(positive regulation of actin filament depolymerization);GO:0030864(cortical actin cytoskeleton);GO:0034316(negative regulation of Arp2/3 complex-mediated actin nucleation);GO:0035317(imaginal disc-derived wing hair organization);GO:0040011(locomotion);GO:0042643(actomyosin, actin portion);GO:0045214(sarcomere organization);GO:0051015(actin filament binding)",NA
NC_051364.1,12307836,12309328,1493,+,1.53,0.88,0.65,0.01,0.05,UTR3,XM_012690072.3,101743258,NC_051364.1,12301967,12309329,LOC101743258,Bardet-Biedl syndrome 5 protein homolog [Bombyx mori],GO:0032266(phosphatidylinositol-3-phosphate binding);GO:0034464(BBSome);GO:0036064(ciliary basal body);GO:0046907(intracellular transport),NA
NC_051364.1,12412081,12413041,961,+,1.47,0.99,0.48,0.00,0.03,exonic,XM_004925722.4,101743395,NC_051364.1,12410148,12414431,LOC101743395,"probable 39S ribosomal protein L45, mitochondrial [Bombyx mori]",GO:0005739(mitochondrion);GO:0003735(structural constituent of ribosome);GO:0005762(mitochondrial large ribosomal subunit);GO:0032543(mitochondrial translation),NA
NC_051364.1,12524161,12534380,10220,+,2.81,3.20,-0.39,0.00,0.00,UTR5,XM_038012070.1,101735377,NC_051364.1,12524112,12538215,LOC101735377,nucleolar complex protein 3 homolog [Bombyx mori],GO:0003682(chromatin binding);GO:0005634(nucleus),NA
NC_051364.1,12569810,12577567,7758,+,2.71,3.13,-0.42,0.04,0.17,UTR3,XM_004925725.4,101743929,NC_051364.1,12569736,12577571,LOC101743929,DNA-directed RNA polymerase III subunit RPC4 [Bombyx mori],GO:0001056(RNA polymerase III activity);GO:0005666(DNA-directed RNA polymerase III complex),03020(RNA polymerase)
NC_051364.1,12896954,12897950,997,+,2.77,8.56,-5.79,0.02,0.10,exonic,XM_038012078.1,692748,NC_051364.1,12891291,12907873,LOC692748,kinesin-like protein KLP2 [Bombyx mori],"GO:0000278(mitotic cell cycle);GO:0001578(microtubule bundle formation);GO:0003774(motor activity);GO:0003777(microtubule motor activity);GO:0005515(protein binding);GO:0005524(ATP binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005783(endoplasmic reticulum);GO:0005794(Golgi apparatus);GO:0005813(centrosome);GO:0005818(aster);GO:0005819(spindle);GO:0005871(kinesin complex);GO:0005874(microtubule);GO:0005875(microtubule associated complex);GO:0005876(spindle microtubule);GO:0007018(microtubule-based movement);GO:0007030(Golgi organization);GO:0007052(mitotic spindle organization);GO:0007059(chromosome segregation);GO:0007100(mitotic centrosome separation);GO:0008017(microtubule binding);GO:0008574(ATP-dependent microtubule motor activity, plus-end-directed);GO:0009306(protein secretion);GO:0016887(ATPase activity);GO:0031535(plus-end directed microtubule sliding);GO:0042998(positive regulation of Golgi to plasma membrane protein transport);GO:0045169(fusome);GO:0045478(fusome organization);GO:0048085(adult chitin-containing cuticle pigmentation);GO:0051289(protein homotetramerization);GO:0051299(centrosome separation);GO:0072686(mitotic spindle);GO:0090307(mitotic spindle assembly);GO:0097431(mitotic spindle pole);GO:1990498(mitotic spindle microtubule)",NA
NC_051364.1,12902195,12902712,518,+,0.71,4.89,-4.18,0.03,0.16,exonic,XM_038012078.1,692748,NC_051364.1,12891291,12907873,LOC692748,kinesin-like protein KLP2 [Bombyx mori],"GO:0000278(mitotic cell cycle);GO:0001578(microtubule bundle formation);GO:0003774(motor activity);GO:0003777(microtubule motor activity);GO:0005515(protein binding);GO:0005524(ATP binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005783(endoplasmic reticulum);GO:0005794(Golgi apparatus);GO:0005813(centrosome);GO:0005818(aster);GO:0005819(spindle);GO:0005871(kinesin complex);GO:0005874(microtubule);GO:0005875(microtubule associated complex);GO:0005876(spindle microtubule);GO:0007018(microtubule-based movement);GO:0007030(Golgi organization);GO:0007052(mitotic spindle organization);GO:0007059(chromosome segregation);GO:0007100(mitotic centrosome separation);GO:0008017(microtubule binding);GO:0008574(ATP-dependent microtubule motor activity, plus-end-directed);GO:0009306(protein secretion);GO:0016887(ATPase activity);GO:0031535(plus-end directed microtubule sliding);GO:0042998(positive regulation of Golgi to plasma membrane protein transport);GO:0045169(fusome);GO:0045478(fusome organization);GO:0048085(adult chitin-containing cuticle pigmentation);GO:0051289(protein homotetramerization);GO:0051299(centrosome separation);GO:0072686(mitotic spindle);GO:0090307(mitotic spindle assembly);GO:0097431(mitotic spindle pole);GO:1990498(mitotic spindle microtubule)",NA
NC_051364.1,13243374,13326314,82941,+,2.69,3.48,-0.79,0.01,0.05,UTR5,XM_038011944.1,101737866,NC_051364.1,13243375,13336383,LOC101737866,inverted formin-2-like [Bombyx mori],"GO:0003779(actin binding);GO:0016043(cellular component organization);GO:0035147(branch fusion, open tracheal system)",NA
NC_051364.1,792943,793193,251,-,1.02,1.26,-0.24,0.00,0.02,UTR3,XM_004923221.3,101740767,NC_051364.1,792319,797490,LOC101740767,protein jagunal [Bombyx mori],GO:0001555(oocyte growth);GO:0004129(cytochrome-c oxidase activity);GO:0005789(endoplasmic reticulum membrane);GO:0006887(exocytosis);GO:0007029(endoplasmic reticulum organization);GO:0007296(vitellogenesis);GO:0008407(chaeta morphogenesis);GO:0022416(chaeta development);GO:0022904(respiratory electron transport chain);GO:0051686(establishment of ER localization),NA
NC_051364.1,819029,819911,883,-,1.28,0.51,0.77,0.03,0.15,UTR3,XM_004923223.4,101741198,NC_051364.1,817855,834242,LOC101741198,hematological and neurological expressed 1 protein [Bombyx mori],GO:0048190(wing disc dorsal/ventral pattern formation),NA
NC_051364.1,1931552,1941882,10331,-,3.05,3.58,-0.52,0.00,0.01,UTR3,XM_021353539.2,101736084,NC_051364.1,1931553,1987877,LOC101736084,MAP7 domain-containing protein 2-like isoform X8 [Bombyx mandarina],GO:0000226(microtubule cytoskeleton organization);GO:0005198(structural molecule activity);GO:0015630(microtubule cytoskeleton),NA
NC_051364.1,1944058,1987874,43817,-,4.44,5.12,-0.68,0.01,0.07,UTR5,XM_021353539.2,101736084,NC_051364.1,1931553,1987877,LOC101736084,MAP7 domain-containing protein 2-like isoform X8 [Bombyx mandarina],GO:0000226(microtubule cytoskeleton organization);GO:0005198(structural molecule activity);GO:0015630(microtubule cytoskeleton),NA
NC_051364.1,3411991,3412191,201,-,0.71,1.51,-0.79,0.05,0.19,UTR3,XM_004923253.3,101745654,NC_051364.1,3411992,3416877,LOC101745654,transcription initiation factor TFIID subunit 3 [Bombyx mori],"GO:0002039(p53 binding);GO:0003682(chromatin binding);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005669(transcription factor TFIID complex);GO:0008134(transcription factor binding);GO:0031208(POZ domain binding);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045944(positive regulation of transcription by RNA polymerase II)",03022(Basal transcription factors)
NC_051364.1,3412641,3414266,1626,-,3.27,3.69,-0.42,0.04,0.18,UTR3,XM_004923253.3,101745654,NC_051364.1,3411992,3416877,LOC101745654,transcription initiation factor TFIID subunit 3 [Bombyx mori],"GO:0002039(p53 binding);GO:0003682(chromatin binding);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005669(transcription factor TFIID complex);GO:0008134(transcription factor binding);GO:0031208(POZ domain binding);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045944(positive regulation of transcription by RNA polymerase II)",03022(Basal transcription factors)
NC_051364.1,3628829,3655345,26517,-,0.68,2.61,-1.93,0.02,0.13,exonic,XM_004923256.4,101746090,NC_051364.1,3624380,3655692,LOC101746090,putative glutathione-specific gamma-glutamylcyclotransferase 2 [Bombyx mori],GO:0003839(gamma-glutamylcyclotransferase activity);GO:0005112(Notch binding);GO:0005737(cytoplasm);GO:0005802(trans-Golgi network);GO:0006751(glutathione catabolic process);GO:0022008(neurogenesis),00480(Glutathione metabolism);01100(Metabolic pathways)
NC_051364.1,3744934,3983307,238374,-,2.14,4.77,-2.63,0.01,0.08,UTR5,XM_038011935.1,101737427,NC_051364.1,3661996,4038576,LOC101737427,rho GTPase-activating protein 7 isoform X1 [Bombyx mori],"GO:0000132(establishment of mitotic spindle orientation);GO:0000902(cell morphogenesis);GO:0000912(assembly of actomyosin apparatus involved in cytokinesis);GO:0005096(GTPase activator activity);GO:0005938(cell cortex);GO:0007052(mitotic spindle organization);GO:0007091(metaphase/anaphase transition of mitotic cell cycle);GO:0007173(epidermal growth factor receptor signaling pathway);GO:0007266(Rho protein signal transduction);GO:0007274(neuromuscular synaptic transmission);GO:0007391(dorsal closure);GO:0007424(open tracheal system development);GO:0007427(epithelial cell migration, open tracheal system);GO:0007443(Malpighian tubule morphogenesis);GO:0007494(midgut development);GO:0008258(head involution);GO:0008289(lipid binding);GO:0008586(imaginal disc-derived wing vein morphogenesis);GO:0016323(basolateral plasma membrane);GO:0030431(sleep);GO:0030866(cortical actin cytoskeleton organization);GO:0035024(negative regulation of Rho protein signal transduction);GO:0035160(maintenance of epithelial integrity, open tracheal system);GO:0035277(spiracle morphogenesis, open tracheal system);GO:0048814(regulation of dendrite morphogenesis);GO:0050806(positive regulation of synaptic transmission);GO:0051653(spindle localization)",NA
NC_051364.1,4082300,4085650,3351,-,-2.41,2.03,-4.44,0.05,0.20,exonic,XM_012694881.3,101739427,NC_051364.1,4068756,4219283,LOC101739427,rho guanine nucleotide exchange factor 17 isoform X3 [Bombyx mori],GO:0005089(Rho guanyl-nucleotide exchange factor activity);GO:0005575(cellular_component);GO:0035025(positive regulation of Rho protein signal transduction),NA
NC_051364.1,4241824,4242024,201,-,7.54,2.78,4.76,0.03,0.16,exonic,NM_001043365.1,692366,NC_051364.1,4240900,4319638,trh,protein trachealess [Bombyx mandarina],"GO:0000981(RNA polymerase II transcription factor activity, sequence-specific DNA binding);GO:0003700(DNA binding transcription factor activity);GO:0005634(nucleus);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007424(open tracheal system development);GO:0007425(epithelial cell fate determination, open tracheal system);GO:0007431(salivary gland development);GO:0007435(salivary gland morphogenesis);GO:0007443(Malpighian tubule morphogenesis);GO:0035277(spiracle morphogenesis, open tracheal system);GO:0043565(sequence-specific DNA binding);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0046331(lateral inhibition);GO:0046982(protein heterodimerization activity);GO:0048813(dendrite morphogenesis);GO:0060173(limb development);GO:0072175(epithelial tube formation)",NA
NC_051364.1,4558036,4558261,226,-,0.11,1.77,-1.66,0.00,0.03,UTR3,XM_012694862.3,101739701,NC_051364.1,4555837,4584700,LOC101739701,tubulin polyglutamylase TTLL4 isoform X4 [Bombyx mori],GO:0018095(protein polyglutamylation);GO:0042060(wound healing),NA
NC_051364.1,4598139,4604180,6042,-,2.85,3.54,-0.69,0.00,0.00,UTR5,XM_038011924.1,101739842,NC_051364.1,4587763,4604553,LOC101739842,zinc finger MYM-type protein 3 [Bombyx mandarina],"GO:0000791(euchromatin);GO:0000792(heterochromatin);GO:0000981(RNA polymerase II transcription factor activity, sequence-specific DNA binding);GO:0003677(DNA binding);GO:0003682(chromatin binding);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0005705(polytene chromosome interband);GO:0005737(cytoplasm);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0006697(ecdysone biosynthetic process);GO:0008270(zinc ion binding);GO:0016233(telomere capping);GO:0035012(polytene chromosome, telomeric region)",NA
